DATE,M1109BUSM293NNBR
12/1/1914,55
1/1/1915,56.55
2/1/1915,56
3/1/1915,58.3
4/1/1915,66.45
5/1/1915,65.95
6/1/1915,68.4
7/1/1915,71.85
8/1/1915,79.25
9/1/1915,85.5
10/1/1915,92.35
11/1/1915,94.35
12/1/1915,97
1/1/1916,94.7
2/1/1916,93.55
3/1/1916,93.3
4/1/1916,89.75
5/1/1916,90.15
6/1/1916,90.65
7/1/1916,88.45
8/1/1916,91
9/1/1916,97.45
10/1/1916,102.1
11/1/1916,107.9
12/1/1916,98.5
1/1/1917,97.15
2/1/1917,90.95
3/1/1917,94.65
4/1/1917,93.9
5/1/1917,93.35
6/1/1917,96.95
7/1/1917,92.9
8/1/1917,88.65
9/1/1917,83.6
10/1/1917,79.05
11/1/1917,71.4
12/1/1917,70.2
1/1/1918,76.6
2/1/1918,79.95
3/1/1918,78.05
4/1/1918,77.65
5/1/1918,81.05
6/1/1918,80.45
7/1/1918,81.85
8/1/1918,81.95
9/1/1918,82.5
10/1/1918,86.25
11/1/1918,84
12/1/1918,82.5
1/1/1919,81.65
2/1/1919,82.45
3/1/1919,86.55
4/1/1919,91.15
5/1/1919,99.4
6/1/1919,103.6
7/1/1919,109.7
8/1/1919,103.25
9/1/1919,108.2
10/1/1919,113.9
11/1/1919,111.6
12/1/1919,105.8
1/1/1920,105.9
2/1/1920,96.5
3/1/1920,97.95
4/1/1920,99.45
5/1/1920,91.1
6/1/1920,91.7
7/1/1920,90.7
8/1/1920,85.25
9/1/1920,86.5
10/1/1920,84.85
11/1/1920,79.3
12/1/1920,72.2
1/1/1921,74.75
2/1/1921,75.7
3/1/1921,75.05
4/1/1921,77
5/1/1921,76.7
6/1/1921,69.2
7/1/1921,68.6
8/1/1921,66.95
9/1/1921,69.35
10/1/1921,71.7
11/1/1921,75.7
12/1/1921,79.8
1/1/1922,80.6
2/1/1922,83.75
3/1/1922,87.2
4/1/1922,91.3
5/1/1922,93.95
6/1/1922,93.55
7/1/1922,95
8/1/1922,98.5
9/1/1922,99.2
10/1/1922,99.75
11/1/1922,95.75
12/1/1922,97
1/1/1923,98.2
2/1/1923,100.8
3/1/1923,103.9
4/1/1923,100.55
5/1/1923,95.5
6/1/1923,92.55
7/1/1923,89.3
8/1/1923,90.45
9/1/1923,90.75
10/1/1923,88.15
11/1/1923,90.65
12/1/1923,94.1
1/1/1924,97.8
2/1/1924,98.8
3/1/1924,95.6
4/1/1924,91.95
5/1/1924,90.4
6/1/1924,93.3
7/1/1924,99.25
8/1/1924,103.55
9/1/1924,102.9
10/1/1924,101.65
11/1/1924,107.65
12/1/1924,115.45
1/1/1925,121.55
2/1/1925,120.45
3/1/1925,120.35
4/1/1925,119.7
5/1/1925,125.55
6/1/1925,128.9
7/1/1925,133.9
8/1/1925,138.85
9/1/1925,142.45
10/1/1925,150.65
11/1/1925,153.8
12/1/1925,154.55
1/1/1926,156.1
2/1/1926,158.4
3/1/1926,144.25
4/1/1926,140.55
5/1/1926,140.3
6/1/1926,148.15
7/1/1926,156.8
8/1/1926,163.5
9/1/1926,161.2
10/1/1926,152.7
11/1/1926,153.95
12/1/1926,159.3
1/1/1927,154.65
2/1/1927,158.15
3/1/1927,160.1
4/1/1927,164.05
5/1/1927,168.8
6/1/1927,168.85
7/1/1927,175.35
8/1/1927,183.85
9/1/1927,195.3
10/1/1927,189.8
11/1/1927,189.95
12/1/1927,198
1/1/1928,198.95
2/1/1928,195.35
3/1/1928,204.5
4/1/1928,212.45
5/1/1928,216.3
6/1/1928,211.5
7/1/1928,210.85
8/1/1928,227.25
9/1/1928,239.3
10/1/1928,247.45
11/1/1928,274.9
12/1/1928,278.65
1/1/1929,307.25
2/1/1929,309
3/1/1929,308.85
4/1/1929,309.2
5/1/1929,310.25
6/1/1929,316.45
7/1/1929,341.45
8/1/1929,359.15
9/1/1929,362.35
10/1/1929,291.5
11/1/1929,228.2
12/1/1929,247.2
1/1/1930,255.65
2/1/1930,267.4
3/1/1930,278.25
4/1/1930,285.5
5/1/1930,266.7
6/1/1930,243.15
7/1/1930,229.8
8/1/1930,228.8
9/1/1930,225
10/1/1930,198.75
11/1/1930,180.95
12/1/1930,172.15
1/1/1931,167.25
2/1/1931,181.55
3/1/1931,180.05
4/1/1931,158
5/1/1931,141.45
6/1/1931,139.3
7/1/1931,145.35
8/1/1931,139.8
9/1/1931,118.35
10/1/1931,98.1
11/1/1931,103.4
12/1/1931,82.8
1/1/1932,78.55
2/1/1932,78.9
3/1/1932,81.05
4/1/1932,64.05
5/1/1932,51.85
6/1/1932,46.85
7/1/1932,47.75
8/1/1932,64.4
9/1/1932,71
10/1/1932,65.3
11/1/1932,62.2
12/1/1932,58.85
1/1/1933,61.85
2/1/1933,55.15
3/1/1933,57.75
4/1/1933,66.7
5/1/1933,83.3
6/1/1933,93.8
7/1/1933,98.55
8/1/1933,98.85
9/1/1933,99.45
10/1/1933,91.65
11/1/1933,95.45
12/1/1933,99.05
1/1/1934,102.85
2/1/1934,106.9
3/1/1934,102.3
4/1/1934,103.55
5/1/1934,96.2
6/1/1934,95.9
7/1/1934,92.25
8/1/1934,91.6
9/1/1934,90.2
10/1/1934,93
11/1/1934,98.3
12/1/1934,101.8
1/1/1935,103.2
2/1/1935,103.7
3/1/1935,100
4/1/1935,105.45
5/1/1935,112.75
6/1/1935,115.25
7/1/1935,122.65
8/1/1935,126.95
9/1/1935,130.7
10/1/1935,134.8
11/1/1935,144.75
12/1/1935,141.7
1/1/1936,146.3
2/1/1936,152
3/1/1936,154.6
4/1/1936,152.85
5/1/1936,149.5
6/1/1936,155
7/1/1936,162.25
8/1/1936,164.95
9/1/1936,167.4
10/1/1936,172.95
11/1/1936,180.8
12/1/1936,179.05
1/1/1937,182.3
2/1/1937,188.4
3/1/1937,187.1
4/1/1937,177.65
